FID,Shape *,FID_1,AREA,PERIMETER,GEO,SYMBOL,STRATIGRAP,STRAT_SYM,GENESE,GEN_SYM,PETROGRAPH,PET_SYM,BEMERKUNGE,SHAPE_Leng,SHAPE_Area,Strat,Strat2,hlnug
36,Polygon,9756,9543421.212,21236.34422,603,mo,"Trias, Oberer Muschelkalk",mo,marine Ablagerungen,m,"gebankter Kalkstein und Mergelstein, sandiger Dolomitstein, Tonstein, Sandstein","^k(bk),^m(bk),^d(s),^t,^s", ,34083.77965,24596037.67,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
37,Polygon,9765,78900352.46,137907.9927,670,cd,"Karbon, Unterkarbon",cd,marin,m,"Grauwacke, Tonschiefer, Plattenkalk, Kieselkalk, Kieselschiefer, Alaunschiefer","^g,^tsf,^kpl,^ik,^ti,^tal",Kulmfazies,221106.4781,203017159.4,"Carboniferous, Lower",Carboniferous,Carboniferous
38,Polygon,9770,15755661.48,27062.87259,589,tr,Trias ungegliedert,tr, , , , ,Oberostalpin (îrtlich Unterostalpin in den Stubaier Alpen),43409.03993,40601554.55,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
39,Polygon,9774,4913030.241,18357.21393,585,ju,"Jura, Unterer Jura (Lias)",ju,marine Ablagerungen,m,"Ton, Tonmergelstein, Kalkstein, Sandstein; ôlschiefer","^t,^mt,^k,^s,^bit", ,29475.19891,12655567.57,"Jurassic, Lower","Jurassic, Lower","Jurassic, Lower"
40,Polygon,9781,101436994.3,151984.0509,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,243662.1613,260753027.6,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
41,Polygon,9795,1851693.138,7371.676387,585,ju,"Jura, Unterer Jura (Lias)",ju,marine Ablagerungen,m,"Ton, Tonmergelstein, Kalkstein, Sandstein; ôlschiefer","^t,^mt,^k,^s,^bit", ,11824.35087,4772114.071,"Jurassic, Lower","Jurassic, Lower","Jurassic, Lower"
42,Polygon,9796,46462916.3,57925.2971,591,k,"Trias, Keuper",k, , ,"Tonstein, Sandstein, Quarzit, Dolomit","^t,^s,^q,^d", ,92904.15127,119397296,"Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)"
43,Polygon,9808,5282763.378,9820.7632,500,t,TertiÑr,t, , , , , ,15760.88696,13608583.68,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
44,Polygon,9812,6717406.805,11170.06213,444,qp//f,"PleistozÑn, ungegliedert",qp,fluviatil,f,"Sand, Kies","S,G", ,17933.70142,17297666.73,Pleistocene,Pleistocene,Pleistocene
45,Polygon,9818,19811511.71,22377.26587,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,35897.31809,50979737.53,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
46,Polygon,9825,1373676.019,4600.330221,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,7386.676954,3538346.381,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
47,Polygon,9832,15783940.18,36331.18136,604,mm,"Trias, Mittlerer Muschelkalk",mm,marin - brackische Ablagerungen,m-br,"Mergelstein mit Gips, Anhydrit und Steinsalz, Dolomitstein, Kalkstein, Tonstein, Sandstein","^m,lag(^y,^ah,^na),^d,^k,^t,^s", ,58269.09865,40632547.51,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
48,Polygon,9833,9455896.225,17267.37673,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,27708.3019,24331644.57,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
49,Polygon,9835,5798483.088,11373.82323,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,18256.21867,14924747.41,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
50,Polygon,9841,910546.0339,4927.786064,585,ju,"Jura, Unterer Jura (Lias)",ju,marine Ablagerungen,m,"Ton, Tonmergelstein, Kalkstein, Sandstein; ôlschiefer","^t,^mt,^k,^s,^bit", ,7904.406467,2344794.842,"Jurassic, Lower","Jurassic, Lower","Jurassic, Lower"
