OBJECTID *,Shape *,Bundesland-ID,Bundesland,Geo_ID,Kürzel,Formation,Petrographie,Subgruppe,Gruppe,Subserie,Serie,Subsystem,System,Shape_Length,Shape_Area
29,Polygon,1,Hessen,80,o,"Ordovizium, ungegliedert",Quarzit (Andreasteich bei Gießen); Tonschiefer und Konglomerat (Sauerland), , , , , ,Ordoviz,1338.744806,94474.49841
30,Polygon,1,Hessen,99,cd2-3aBVK,Alkalibasaltischer Metavulkaniklastit des Unterkabons 2 - 3,Alkalibasaltische Pillowfragmentbrekzien, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,15826.70287,1924029.838
31,Polygon,2,andere,99,cd2-3aBVK,Alkalibasaltischer Metavulkaniklastit des Unterkabons 2 - 3,Alkalibasaltische Pillowfragmentbrekzien, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,241.19804,1625.68049
32,Polygon,1,Hessen,105,dG,Gießen-Grauwacke (älterer Teil),"Quarzwacken, Grauwacken", , , ,Oberdevon, ,Devon,81552.06353,42963109.21
33,Polygon,1,Hessen,21,t,"Tertiär, ungegliedert","Ton-Schluff, Sand-Kies, Mergel, Kalkstein, Braunkohle, Quarzit", , , , , ,Tertiär,159132.6727,25611109.52
34,Polygon,1,Hessen,29,ju,"Unterjura, ungegliedert","Tonstein, Kalkstein", , , ,Unterjura (Lias), ,Jura,51093.2035,4532917.942
35,Polygon,1,Hessen,30,ko,ungegliedert,"Sandstein, Ton-Schluffstein",Oberer,Keuper, ,Obertrias, ,Germanische Trias,22456.38658,2904187.93
36,Polygon,2,andere,30,ko,ungegliedert,"Sandstein, Ton-Schluffstein",Oberer,Keuper, ,Obertrias, ,Germanische Trias,8161.892704,323697.0125
37,Polygon,2,andere,33,k,ungegliedert,"Ton-Schluffstein, Sandstein, Dolomit, Dolomitmergelstein",ungegliedert,Keuper, ,Obertrias, ,Germanische Trias,2821.568353,332693.6637
38,Polygon,1,Hessen,78,dg,"Gedinne-Stufe, ungegliedert","Tonschiefer, Sandstein, Grauwacke, Quarzit", ,Gedinnium, ,Unterdevon, ,Devon,11548.45548,1189305.243
39,Polygon,1,Hessen,2,qhDh,"Auensediment, ungegliedert","Lehm, Sand, Kies", , , ,Holozän, ,Quartär,7846034.158,1738682990
40,Polygon,2,andere,2,qhDh,"Auensediment, ungegliedert","Lehm, Sand, Kies", , , ,Holozän, ,Quartär,275426.043,38071672.88
41,Polygon,1,Hessen,3,qhDho,"Holozänes organisches Sediment, ungegliedert",Torf, , , ,Holozän, ,Quartär,500252.3625,72972908.68
42,Polygon,2,andere,3,qhDho,"Holozänes organisches Sediment, ungegliedert",Torf, , , ,Holozän, ,Quartär,3979.090974,201745.841
43,Polygon,1,Hessen,4,qpFl,"Fließerde, ungegliedert","Ton, Schluff, oft mit Steinen, Grus und Sand", , , ,Pleistozän, ,Quartär,12201341.37,3285463574
44,Polygon,2,andere,4,qpFl,"Fließerde, ungegliedert","Ton, Schluff, oft mit Steinen, Grus und Sand", , , ,Pleistozän, ,Quartär,96626.63323,9647334.838
45,Polygon,1,Hessen,5,qpTELST,Laacher See Tephra,Phonolitische Aschenablagerungen, , , ,Pleistozän, ,Quartär,13948.65363,1594673.66
46,Polygon,1,Hessen,6,qpHhl,Hochflutlehm,"Ton, Lehm", , , ,Pleistozän, ,Quartär,876695.3898,278820327.1
47,Polygon,2,andere,6,qpHhl,Hochflutlehm,"Ton, Lehm", , , ,Pleistozän, ,Quartär,22427.92094,2088524.307
48,Polygon,1,Hessen,7,qpWifs,"Flugsand, ungegliedert",Sand, , , ,Pleistozän, ,Quartär,1661064.672,556480134.2
49,Polygon,2,andere,7,qpWifs,"Flugsand, ungegliedert",Sand, , , ,Pleistozän, ,Quartär,40721.04742,6606281.959
50,Polygon,1,Hessen,8,qpWifs,Dünen,Sand, , , ,Pleistozän, ,Quartär,420527.745,59868554.05
51,Polygon,1,Hessen,10,qpT,"Terrassen, ungegliedert","Kies, Sand", , , ,Pleistozän, ,Quartär,2356178.894,601888104.4
52,Polygon,2,andere,10,qpT,"Terrassen, ungegliedert","Kies, Sand", , , ,Pleistozän, ,Quartär,72541.40063,12080409.65
53,Polygon,1,Hessen,11,tmimBx,Vogelsberg-Laterite/Bauxite,"Laterit, Bauxit, Basalteisenstein", , , ,Miozän,Jungtertiär,Tertiär,329495.3587,77783809.39
54,Polygon,1,Hessen,12,tmiu-mV,Vulkanische Gesteine des Miozäns,"Basanit, Alkalibasalt, Tholeiitischer Basalt, Nephelinit", , , ,Miozän,Jungtertiär,Tertiär,5572367.953,1755646267
55,Polygon,1,Hessen,14,tmiu-mV,Vulkanische Gesteine des Miozäns,"Trachyt, Phonolith", , , ,Miozän,Jungtertiär,Tertiär,84177.9439,9223415.066
56,Polygon,1,Hessen,15,tmiu-mBVK,Basaltische Vulkaniklastite des Miozäns  ("Tuff"),"Basaltische Lapilli- und Aschentuffe, Agglomerate und Tuffbrekzien", , , ,Miozän,Jungtertiär,Tertiär,1031739.947,132881807.6
57,Polygon,1,Hessen,16,tpl,"Pliozän, ungegliedert","Ton-Schluff, Sand-Kies, Braunkohle (z.B. Wetterauer Hauptbraunkohle)", , , ,Pliozän,Jungtertiär,Tertiär,610293.1862,124953271.9
58,Polygon,1,Hessen,17,tmi,"Miozän, ungegliedert","Ton-Schluff, Sand-Kies, Quarzit, Kalkstein, Tuffit, Braunkohle (z.B. Frielendorfer Flöze)", , , ,Miozän,Jungtertiär,Tertiär,2038133.929,368307054.4
59,Polygon,1,Hessen,18,tolo,"Oberoligozän, ungegliedert","Ton-Schluff, Sand, Mergel, Kalkstein", , , ,Oligozän,Alttertiär,Tertiär,988968.3333,180211265.7
60,Polygon,1,Hessen,19,tol,"Oligozän, ungegliedert","Ton-Schluff, Sand-Kies, Mergel", , , ,Oligozän,Alttertiär,Tertiär,458218.9618,76312674.79
61,Polygon,2,andere,19,tol,"Oligozän, ungegliedert","Ton-Schluff, Sand-Kies, Mergel", , , ,Oligozän,Alttertiär,Tertiär,848.555754,28737.44486
62,Polygon,1,Hessen,20,teol,"Eozän—Oligozän, ungegliedert","Ton-Schluff, Sand, Braunkohle, (z.B. Borkener Flözgruppe), Quarzit, Ölschiefer von Messel", , , ,Eozän—Oligozän,Alttertiär,Tertiär,680546.1411,109842977.1
63,Polygon,1,Hessen,38,so,ungegliedert,"Ton-Schluffstein, Mergelstein, Gipsstein, Quarzit, Sandstein",Oberer,Buntsandstein, ,Untertrias, ,Germanische Trias,3235529.148,650280026
64,Polygon,2,andere,38,so,ungegliedert,"Ton-Schluffstein, Mergelstein, Gipsstein, Quarzit, Sandstein",Oberer,Buntsandstein, ,Untertrias, ,Germanische Trias,94020.41036,8019396.398
65,Polygon,1,Hessen,39,sm,ungegliedert,"Sandstein, z.T. mit Geröllen, Ton-Schluffstein",Mittlerer,Buntsandstein, ,Untertrias, ,Germanische Trias,7199922.237,3317704136
66,Polygon,2,andere,39,sm,ungegliedert,"Sandstein, z.T. mit Geröllen, Ton-Schluffstein",Mittlerer,Buntsandstein, ,Untertrias, ,Germanische Trias,336230.3847,40461462.54
67,Polygon,1,Hessen,40,su,ungegliedert,"Sandstein, z.T. mit Geröllen, Ton-Schluffstein",Unterer,Buntsandstein, ,Untertrias, ,Germanische Trias,4224154.793,1784800763
68,Polygon,2,andere,40,su,ungegliedert,"Sandstein, z.T. mit Geröllen, Ton-Schluffstein",Unterer,Buntsandstein, ,Untertrias, ,Germanische Trias,198127.7016,24712907.34
69,Polygon,1,Hessen,41,z,"Zechstein, ungegliedert","Dolomit, Kalkstein, Konglomerat, Gips/Anhydrit, Tonstein, Sandstein", ,Zechstein, ,Oberperm, ,Mitteleuropäische Perm (Dyas),1437748.836,321788598.2
70,Polygon,2,andere,41,z,"Zechstein, ungegliedert","Dolomit, Kalkstein, Konglomerat, Gips/Anhydrit, Tonstein, Sandstein", ,Zechstein, ,Oberperm, ,Mitteleuropäische Perm (Dyas),12287.72093,1356065.194
71,Polygon,1,Hessen,44,rV,Vulkanite des Rotliegend,Rhyolith (vorw.) ("Quarzporphyr"), ,Rotliegend, ,Unterperm, ,Mitteleuropäische Perm (Dyas),18184.1541,2868180.525
72,Polygon,1,Hessen,46,ro,ungegliedert,"Konglomerat, Sandstein, (z.T. Arkose), Schluff- u. Tonstein, rhyolithischer Tuff, z.T. Kalkstein",Ober-,Rotliegend, ,Unterperm, ,Mitteleuropäische Perm (Dyas),770631.7122,204522337.3
73,Polygon,1,Hessen,47,ru,ungegliedert,"Sandstein, bzw. Arkose, Silt- u. Tonstein, Konglomerat, rhyolithische Vulkaniklastite, Kalkstein, Kohleflöze",Unter-,Rotliegend, ,Unterperm, ,Mitteleuropäische Perm (Dyas),65744.79974,15775205.94
74,Polygon,1,Hessen,54,"cd3,tg","Kulmgrauwacke, Kulmtonschiefer, Kulmplattenkalk","Tonschiefer, Grauwacke, Konglomerat, Kalkstein", ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,1556675.921,614062677.1
75,Polygon,1,Hessen,57,cd,"Unterkarbon, ungegliedert","Tonschiefer, Kieselschiefer, Grauwacke, Kalkstein, Konglomerat", ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,231400.1481,47335031.78
76,Polygon,1,Hessen,58,"dv-a,aBV",Alkalibasaltische Metavulkanite der Givet-Adorf-Stufe,"Metaalkalibasalt (""Spilit"", ""Diabas"")", ,Frasnium/Givetium, ,Ober—/Mitteldevon, ,Devon,479744.8777,49104503.43
77,Polygon,1,Hessen,59,"dv-a,TrV/RV",Trachytische und rhyolitische Metavulkanite der Giovet-Adorf-Stufe,"Metatrachyt, Metarhyolith (""Keratophyr"", ""Quarzkeratophyr"")", ,Frasnium/Givetium, ,Ober—/Mitteldevon, ,Devon,70666.98589,7145670.03
78,Polygon,1,Hessen,60,do,"Oberdevon, ungegliedert","Tonschiefer, Sandstein, Grauwacke, Quarzit, Kalkstein", , , ,Oberdevon, ,Devon,2073465.518,418320844.8
79,Polygon,1,Hessen,61,dvaM,Massenkalk der Givet-Adorf-Stufe,"Kalkstein, Dolomitstein", ,Frasnium/Givetium, ,Ober—/Mitteldevon, ,Devon,259923.7444,37505739.42
80,Polygon,1,Hessen,63,",aBVK",Vulkaniklastische Gesteine (Schalstein-Formation),"Alkalibasaltische Pillowfragmentbrekzien (vorw.), Hyaloklastite, Lapilli- u. Aschentuffe; geschiefert", ,Givetium, ,Mitteldevon, ,Devon,877464.4077,161804682.7
81,Polygon,1,Hessen,64,de,"Eifel-Stufe, ungegliedert","Tonschiefer, Quarzit, Grauwackensandstein", ,Eifelium, ,Mitteldevon, ,Devon,815475.1859,196494285.6
